Applicant ID,Credit 
,Income (INR),Employment Status,Debt-to-Income Ratio,Credit Utilization (%),Existing Debts (INR),Payment History (Late Payments),Residential Stability (Years),Age,Bankruptcy (Yes/No),Total Credit Limit (INR)
AP0027,603,1570631,Employed,0.41,70,932385,3,19,25,Yes,98407
AP0028,370,1646505,Self-employed,0.37,78,333310,10,4,39,Yes,223442
AP0029,616,2887238,Employed,0.11,8,1897309,9,18,45,No,457598
AP0030,702,1282761,Unemployed,0.5,91,822617,1,17,22,No,233434
AP0031,474,2643106,Employed,0.03,86,1554843,5,8,60,No,96883
AP0032,431,1327481,Employed,0.13,57,1214531,1,7,47,No,177523
AP0033,308,988995,Unemployed,0.12,74,91873,1,8,20,No,457673
AP0034,735,2724862,Employed,0.61,48,713114,9,20,49,No,415066
AP0035,479,2622617,Unemployed,0.26,60,333671,10,18,32,No,124188
AP0036,776,2678444,Self-employed,0.08,24,1893446,1,3,24,Yes,206840
AP0037,569,2906983,Unemployed,0.67,85,32946,6,14,42,No,272932
AP0038,734,1853119,Employed,0.37,1,177221,7,6,42,Yes,477540
AP0039,412,1737324,Employed,0.3,85,923742,3,18,47,No,318743
AP0040,536,2896183,Self-employed,0.69,73,1930928,4,17,62,No,71521
AP0041,335,2583181,Employed,0.34,93,1924821,7,17,57,No,482688
AP0042,376,1573940,Self-employed,0.13,43,995378,2,20,23,No,274456
AP0043,740,1693870,Unemployed,0.09,81,1164954,9,10,28,No,474992
AP0044,424,2594426,Self-employed,0.84,44,341366,0,19,46,No,56087
AP0045,775,1040545,Employed,0.56,81,670105,6,4,50,No,337994
AP0046,495,1673314,Self-employed,0.4,83,868281,3,20,28,No,131516
AP0047,336,1347969,Self-employed,0.96,24,1892844,2,11,23,No,437694
AP0048,646,1135865,Self-employed,0.65,18,1248819,1,13,51,Yes,149986
AP0049,335,1331803,Self-employed,0.67,67,1241588,8,18,25,No,439202
AP0050,506,2059464,Self-employed,0.38,23,950806,4,10,37,Yes,212637
AP0051,695,1733595,Self-employed,0.17,34,1585742,4,1,55,No,158961
AP0052,432,1704993,Unemployed,0.59,34,711950,8,8,47,No,214474
AP0053,587,2780701,Unemployed,1.0,10,1104906,2,5,57,No,189338
AP0054,568,2147486,Self-employed,0.43,5,1844624,7,13,48,No,99687
AP0055,707,2162958,Unemployed,0.67,18,409511,0,18,53,Yes,459141
AP0056,471,2816006,Self-employed,0.68,70,1875464,0,1,45,Yes,241077
AP0057,623,2440878,Self-employed,0.68,41,1037051,10,14,56,Yes,393968
AP0058,530,2032139,Unemployed,0.68,68,1510167,9,20,47,No,281794
AP0059,331,2781554,Self-employed,0.75,53,896031,0,12,40,No,312015
AP0060,723,2453807,Self-employed,0.45,13,1401380,5,2,24,No,493800
AP0061,732,2453016,Unemployed,0.32,95,699057,1,3,59,No,226156
AP0062,470,626264,Unemployed,0.47,75,195599,4,16,42,Yes,118951
AP0063,413,1728867,Self-employed,0.2,28,1266850,3,16,24,No,420573
AP0064,487,1246937,Unemployed,0.2,77,893137,9,10,44,Yes,263666
AP0065,305,481924,Employed,0.48,42,673087,8,2,45,Yes,468816
AP0066,321,1207113,Self-employed,0.24,80,811248,10,5,57,No,462716
AP0067,462,2740248,Unemployed,0.46,9,229170,1,9,19,Yes,112751
AP0068,520,2362548,Self-employed,0.76,38,1669683,3,16,28,Yes,492698
AP0069,801,2119800,Employed,0.95,0,1174513,4,19,21,No,225759
AP0070,435,2799140,Self-employed,0.31,55,356065,2,14,40,Yes,396321
AP0071,652,2965581,Employed,0.82,8,1583168,9,20,30,No,494505
AP0072,387,1790763,Unemployed,0.93,28,1663104,3,10,65,No,489671
AP0073,602,949621,Self-employed,0.68,83,1977566,3,18,28,Yes,352325
AP0074,615,2368678,Unemployed,0.98,18,1666392,10,13,54,No,262130
AP0075,551,1122571,Employed,0.49,35,1715473,4,3,54,No,134545
AP0076,482,1692628,Unemployed,0.95,75,896316,3,2,27,No,413831
AP0077,410,2715070,Self-employed,0.45,41,908657,6,17,36,No,361453
AP0078,761,350770,Self-employed,0.98,50,532918,10,7,46,No,93574
AP0079,755,1888910,Self-employed,0.63,21,1589240,8,12,50,No,110943
AP0080,460,2714957,Unemployed,0.61,36,1922943,4,8,64,Yes,185769
AP0081,474,754948,Unemployed,0.47,8,745122,2,4,42,Yes,82366
AP0082,559,1452358,Employed,0.05,35,341719,10,7,37,Yes,471561
AP0083,650,1029568,Unemployed,0.2,71,69780,0,2,44,Yes,146863
AP0084,553,431248,Employed,0.58,21,1245515,5,14,37,Yes,316015
AP0085,330,1667803,Self-employed,0.08,26,166143,3,20,21,No,251001
AP0086,476,1244574,Unemployed,0.85,83,1811212,6,2,42,Yes,97908
AP0087,497,794851,Employed,0.87,65,1446231,0,4,26,No,490226
AP0088,599,1618994,Self-employed,0.83,34,1741592,0,2,32,No,134136
AP0089,729,1625994,Self-employed,0.05,74,1323588,10,11,60,No,311164
AP0090,615,2152354,Self-employed,0.78,73,1048186,1,15,56,Yes,160697
AP0091,339,2506175,Self-employed,0.68,49,434632,8,18,46,No,327194
AP0092,778,1818061,Employed,0.81,76,1496034,1,19,50,Yes,297310
AP0093,596,372958,Self-employed,0.38,47,594498,7,5,52,Yes,306923
AP0094,582,2366482,Employed,0.32,55,1645267,4,9,27,Yes,412451
AP0095,833,1237580,Self-employed,0.63,87,258429,1,6,45,No,426689
AP0096,361,291258,Unemployed,0.41,90,1707655,4,12,43,Yes,312120
AP0097,767,2732974,Unemployed,0.13,35,641587,10,1,21,No,468058
AP0098,613,252296,Unemployed,0.43,33,1143077,7,8,53,Yes,83229
AP0099,706,1575654,Unemployed,0.3,9,1727675,10,11,64,No,133740
AP0100,428,1861110,Self-employed,0.67,70,1428815,1,5,18,Yes,120230
AP0101,528,803875,Self-employed,0.43,47,1717175,7,2,23,Yes,60411
AP0102,656,1333345,Unemployed,0.7,16,1721472,6,2,65,Yes,411748
AP0103,511,2537883,Unemployed,0.65,49,722909,1,15,50,No,408058
AP0104,590,2143209,Unemployed,0.84,97,1892897,7,4,45,No,372985
AP0105,489,893144,Unemployed,0.01,12,657784,2,4,58,No,460205
AP0106,534,2728301,Unemployed,0.07,89,441954,3,15,44,Yes,400268
AP0107,303,353558,Self-employed,0.39,4,788749,4,6,55,Yes,221532
AP0108,609,545052,Unemployed,0.98,95,1141762,3,20,33,No,68431
AP0109,691,2893372,Unemployed,0.64,26,596266,6,14,53,No,105391
AP0110,352,1561000,Unemployed,0.91,100,1334903,10,5,60,Yes,310693
AP0111,412,518922,Employed,0.33,16,698630,6,19,37,Yes,350287
AP0112,847,555268,Unemployed,0.94,66,1684043,5,16,49,No,122723
AP0113,348,1976752,Self-employed,0.84,91,1554433,10,7,56,No,455073
AP0114,780,1322428,Employed,0.59,14,1717583,7,8,26,No,139641
AP0115,615,759286,Employed,0.59,23,1642584,2,17,20,Yes,72475
AP0116,414,510436,Unemployed,0.06,79,1136026,0,7,55,Yes,450957
AP0117,519,330854,Employed,0.93,74,76952,5,2,54,Yes,295690
AP0118,318,2109838,Self-employed,0.08,83,971805,5,9,33,Yes,355013
AP0119,564,1689274,Self-employed,0.9,72,1089431,7,13,29,Yes,343054
AP0120,376,900089,Unemployed,0.4,60,498759,8,9,20,Yes,410576
AP0121,606,1622065,Unemployed,0.08,87,1660061,10,6,35,Yes,320212
AP0122,391,2190329,Employed,0.74,4,527307,2,13,54,No,240022
AP0123,809,2167028,Unemployed,0.44,69,1453736,2,19,33,No,456899
AP0124,717,1404406,Employed,0.62,1,810181,8,15,61,No,499965
AP0125,618,1600252,Employed,0.57,63,601146,6,2,41,No,127473
AP0126,330,2852878,Self-employed,0.66,47,576834,9,8,64,Yes,214556
AP0127,794,1472931,Employed,0.41,78,203248,2,15,36,No,67687
AP0128,627,1705164,Self-employed,0.02,90,1232842,8,15,48,No,72001
AP0129,807,382852,Employed,0.35,55,1930157,5,1,51,No,459515
AP0130,620,990613,Employed,0.85,60,940998,7,6,46,No,304135
AP0131,679,2364671,Unemployed,0.7,33,68535,2,10,60,No,208035
AP0132,453,521785,Employed,0.68,79,1746035,0,12,35,Yes,204840
AP0133,738,1915578,Employed,0.73,37,347759,5,11,61,No,64767
AP0134,427,1436999,Employed,0.37,23,1903925,4,11,27,Yes,168299
AP0135,341,2731075,Self-employed,0.12,4,1931138,9,17,18,Yes,129333
AP0136,681,780642,Unemployed,0.48,58,1278106,5,13,52,No,422871
AP0137,782,2011145,Unemployed,0.08,8,1433427,7,12,32,No,91940
AP0138,832,1863498,Employed,0.89,56,1964102,10,8,38,Yes,376228
AP0139,425,1700411,Unemployed,0.96,12,1782359,2,17,47,Yes,389361
AP0140,342,2826173,Unemployed,0.57,1,334180,4,8,19,No,219250
AP0141,706,1410745,Employed,0.9,28,1251838,6,16,41,No,152248
AP0142,497,2294461,Unemployed,0.64,57,1227178,9,13,26,No,190860
AP0143,726,2885132,Employed,0.67,100,1342541,6,8,55,No,173276
AP0144,324,354432,Unemployed,0.39,5,1859174,10,18,33,No,72620
AP0145,399,2653440,Unemployed,0.84,71,1615243,6,8,48,Yes,451682
AP0146,336,1238839,Unemployed,0.69,82,1240581,7,1,60,Yes,175344
AP0147,831,1715232,Self-employed,0.85,92,30575,3,17,40,Yes,222243
AP0148,753,2206831,Unemployed,0.4,18,1896225,7,2,64,Yes,188207
AP0149,779,2352051,Self-employed,0.02,18,1301398,10,3,31,Yes,492377
AP0150,445,1457069,Self-employed,0.96,69,1019131,6,4,61,Yes,137839
AP0151,538,392452,Self-employed,0.16,93,1208630,1,7,27,Yes,238734
AP0152,362,2789213,Unemployed,0.1,76,1155437,1,14,30,No,464488
AP0153,363,1840682,Unemployed,0.1,80,1959731,1,2,59,No,441473
AP0154,734,2315546,Self-employed,0.86,8,386372,1,6,65,Yes,464129
AP0155,361,309763,Employed,0.11,50,1254227,2,4,26,No,449365
AP0156,521,2464264,Unemployed,0.39,69,292168,7,12,42,No,372769
AP0157,714,441987,Employed,0.49,94,1788148,3,13,57,No,279442
AP0158,491,2568293,Employed,0.33,38,1974679,6,4,38,Yes,291681
AP0159,732,1226725,Employed,0.66,39,961465,1,3,28,No,85665
AP0160,661,651336,Self-employed,0.91,52,1387217,8,4,25,No,212527
AP0161,703,937394,Employed,0.94,3,1976465,4,12,21,No,111227
AP0162,790,677443,Unemployed,0.73,43,790649,4,6,34,No,91639
AP0163,329,1185683,Self-employed,0.76,21,1071476,6,1,65,No,403555
AP0164,651,1907945,Self-employed,0.92,2,1590528,9,2,29,No,91181
AP0165,506,558633,Self-employed,0.6,76,1494016,5,4,52,No,441717
AP0166,754,1159908,Employed,0.83,79,463670,1,17,36,No,207330
AP0167,395,1576146,Employed,0.03,70,416045,9,9,31,No,375894
AP0168,537,791339,Self-employed,0.05,81,1811573,7,8,28,No,322431
AP0169,312,1182033,Self-employed,0.56,19,1765590,1,5,27,No,415812
AP0170,353,915334,Employed,0.22,32,981889,10,13,32,Yes,300607
AP0171,684,2943877,Unemployed,0.48,30,974747,2,18,58,No,304013
AP0172,794,2615660,Employed,0.69,83,932588,7,18,56,No,126453
AP0173,653,1774081,Unemployed,0.36,0,1281125,10,17,24,No,456882
AP0174,323,2027695,Unemployed,0.14,88,1653030,6,7,54,No,441444
AP0175,688,373117,Self-employed,0.88,58,20307,0,18,33,No,163224
AP0176,551,1993916,Unemployed,0.89,16,507529,6,6,41,No,176188
AP0177,696,2863795,Self-employed,0.44,19,723593,5,7,50,Yes,369360
AP0178,821,2231285,Self-employed,0.45,89,336514,5,1,19,No,403569
AP0179,827,329757,Employed,0.93,7,384763,8,1,22,No,197568
AP0180,391,697159,Unemployed,0.71,60,827878,1,10,54,No,98590
AP0181,477,568070,Employed,0.85,77,678954,8,17,59,Yes,139155
AP0182,512,479853,Unemployed,0.55,90,351661,4,12,63,Yes,219154
AP0183,345,511706,Self-employed,0.12,8,1486777,0,12,32,Yes,123352
AP0184,503,867128,Self-employed,0.06,18,1725318,2,20,45,No,314346
AP0185,672,674948,Unemployed,0.67,35,1173911,5,16,24,Yes,488707
AP0186,770,734585,Unemployed,0.09,38,393056,7,11,48,No,281687
AP0187,509,925013,Employed,0.31,75,1403904,6,6,29,No,261705
AP0188,808,2354572,Self-employed,0.06,41,637324,8,8,60,Yes,109332
AP0189,714,546666,Self-employed,0.29,88,1680467,0,3,65,No,54171
AP0190,388,2710385,Unemployed,0.45,69,1009400,0,10,38,No,234183
AP0191,671,2348534,Employed,0.03,18,824972,2,11,35,No,426703
AP0192,745,459881,Unemployed,0.61,37,493615,8,7,56,No,344200
AP0193,402,1855523,Self-employed,0.83,44,958331,2,8,24,Yes,376648
AP0194,460,339008,Employed,0.37,30,1793694,10,11,31,Yes,223396
AP0195,351,2088712,Unemployed,0.17,53,1681544,4,8,56,No,68587
AP0196,704,2620799,Unemployed,0.37,32,1932939,5,19,43,No,460514
AP0197,755,2451807,Self-employed,0.73,51,1579520,9,9,40,No,294845
AP0198,786,1604785,Self-employed,0.34,80,1209859,0,18,32,Yes,208735
AP0199,449,1514967,Employed,0.71,28,1868920,7,4,20,Yes,483895
AP0200,397,966028,Unemployed,0.21,63,662410,0,12,65,Yes,125833
AP0201,819,2794844,Employed,0.65,76,1250074,5,6,46,Yes,99814
AP0202,477,2189470,Unemployed,0.84,47,677974,10,13,54,Yes,424614
AP0203,780,2263147,Self-employed,0.99,38,467459,4,18,56,No,343224
AP0204,614,2398778,Self-employed,0.63,65,1855428,4,11,45,No,283107
AP0205,614,2226033,Unemployed,0.44,66,312994,1,18,38,Yes,315094
AP0206,441,2158324,Self-employed,0.84,39,71493,6,13,39,Yes,253787
AP0207,823,1935121,Self-employed,0.23,77,1330233,2,12,34,Yes,284401
AP0208,456,840098,Self-employed,0.66,10,1992863,9,17,60,No,355313
AP0209,656,491514,Self-employed,0.31,53,410028,1,16,29,No,57505
AP0210,330,974918,Employed,0.53,3,806015,5,7,59,No,93062
AP0211,651,1747087,Self-employed,0.01,94,331859,1,7,42,No,334283
AP0212,627,285270,Employed,0.44,13,1542040,5,19,30,No,244428
AP0213,764,2305909,Employed,0.27,75,495892,8,10,30,No,416175
AP0214,601,1472503,Unemployed,0.91,86,492983,2,10,33,Yes,388932
AP0215,783,978442,Employed,0.08,25,1359484,1,10,44,No,109842
AP0216,561,2176251,Self-employed,0.51,53,866638,6,13,38,No,454299
AP0217,608,2930123,Unemployed,0.4,96,1671411,7,15,63,Yes,414815
AP0218,583,253578,Employed,0.95,43,1422668,7,18,28,No,54493
AP0219,842,2594533,Employed,0.17,61,39801,8,3,28,Yes,381836
AP0220,427,2978045,Self-employed,0.47,69,1439677,3,5,63,No,287260
AP0221,445,1831699,Unemployed,0.25,11,1469158,2,5,44,Yes,317880
AP0222,837,913277,Self-employed,0.73,37,1868719,5,2,47,No,278571
AP0223,759,2932488,Self-employed,0.76,68,288435,5,18,53,Yes,204428
AP0224,421,320559,Self-employed,0.18,37,870545,0,19,48,Yes,217832
AP0225,646,228313,Unemployed,0.69,7,295139,2,17,52,No,462998
AP0226,470,1494823,Employed,0.12,32,460613,10,13,40,Yes,119748
AP0227,376,1854874,Self-employed,0.98,26,199876,8,9,25,Yes,413809
AP0228,482,2857606,Unemployed,0.16,43,843603,6,13,63,Yes,209298
AP0229,814,2469885,Employed,0.41,78,199892,2,19,40,Yes,208199
AP0230,383,562534,Self-employed,0.18,45,198865,2,5,50,Yes,389576
AP0231,518,559451,Self-employed,0.64,67,1463312,0,7,23,Yes,367028
AP0232,836,2366188,Employed,0.1,62,266652,3,14,60,No,324802
AP0233,304,1295895,Self-employed,0.04,72,929170,6,16,28,Yes,488971
AP0234,724,244898,Self-employed,0.28,97,1468673,0,3,21,No,129402
AP0235,320,2108770,Employed,0.96,1,1171248,10,5,42,No,389131
AP0236,462,1374299,Self-employed,0.99,41,517374,0,11,39,No,140880
AP0237,530,2426663,Self-employed,1.0,42,1012587,9,17,60,Yes,283982
AP0238,608,1200267,Unemployed,0.59,83,1731826,6,16,31,Yes,366145
AP0239,656,312361,Unemployed,0.19,73,1839764,0,19,30,Yes,52499
AP0240,677,1205259,Employed,0.14,87,1454143,4,14,40,Yes,262846
AP0241,833,2839316,Self-employed,0.12,12,69389,4,2,62,No,120097
AP0242,375,2200594,Self-employed,0.97,81,671413,2,11,59,Yes,469908
AP0243,578,2273002,Employed,0.8,5,1363909,7,3,59,No,382547
AP0244,604,811210,Self-employed,1.0,79,999183,2,12,58,No,498089
AP0245,819,1063308,Self-employed,0.73,60,105879,1,1,52,No,253006
AP0246,370,1212881,Employed,0.84,31,1095940,6,1,38,No,309908
AP0247,552,514508,Self-employed,0.45,40,1237056,5,3,65,Yes,84377
AP0248,666,1746279,Unemployed,0.01,67,950357,10,18,22,No,388914
AP0249,355,900318,Self-employed,0.31,57,511243,2,7,35,Yes,414951
AP0250,714,1896644,Self-employed,0.7,48,1518749,3,8,44,No,150039
AP0251,467,1481295,Employed,0.61,99,1085767,5,10,36,No,145334
AP0252,365,1097216,Self-employed,0.1,73,1387163,2,11,26,No,342987
AP0253,667,1631182,Self-employed,0.63,5,718889,7,14,26,Yes,366318
AP0254,571,2404284,Self-employed,0.48,79,438010,4,9,38,Yes,195019
AP0255,833,2144664,Employed,0.8,9,601890,6,11,35,Yes,375913
AP0256,708,2749362,Self-employed,0.13,28,1725465,1,18,52,No,464772
AP0257,767,608978,Unemployed,0.84,31,1644901,4,19,32,Yes,450833
AP0258,830,823327,Self-employed,0.34,46,593745,1,9,35,Yes,101863
AP0259,639,2345073,Self-employed,0.77,42,1669717,7,9,32,No,499478
AP0260,703,2453661,Unemployed,0.96,54,805056,4,6,39,No,499538
AP0261,657,1766650,Unemployed,0.01,49,1304438,3,1,40,Yes,375204
AP0262,777,1960181,Unemployed,0.69,43,1476345,1,2,49,Yes,309289
AP0263,773,1197830,Employed,0.75,3,929796,9,5,19,Yes,169826
AP0264,439,1014409,Self-employed,0.93,4,1347278,8,9,59,Yes,484784
AP0265,587,1448512,Unemployed,0.79,41,1568850,2,3,26,No,478626
AP0266,631,2785254,Employed,0.54,17,1089404,3,14,23,Yes,198688
AP0267,413,2075436,Employed,0.0,1,64217,10,1,53,No,100929
AP0268,367,1283341,Self-employed,0.95,12,1909366,0,11,58,Yes,386610
AP0269,798,1849848,Unemployed,0.91,5,1207960,5,19,43,Yes,67257
AP0270,509,1652289,Self-employed,0.4,42,1002758,2,6,38,No,417113
AP0271,369,324677,Employed,0.58,41,698769,4,7,44,Yes,294654
AP0272,753,388127,Employed,0.51,69,267011,6,10,45,Yes,489759
AP0273,423,2958347,Self-employed,0.64,33,511117,1,9,52,Yes,103448
AP0274,789,2933728,Unemployed,0.13,60,1186488,2,2,41,Yes,316448
AP0275,305,2314262,Employed,0.67,10,599150,4,17,24,No,255669
AP0276,594,1665911,Unemployed,0.51,4,906867,5,7,39,Yes,316669
AP0277,495,2484319,Unemployed,0.73,58,1864624,6,12,38,No,341752
AP0278,563,1786686,Unemployed,0.78,11,1755792,8,18,43,Yes,455794
AP0279,801,2831136,Unemployed,0.1,2,1097102,9,8,40,Yes,94226
AP0280,747,1166842,Employed,0.06,67,250975,4,6,31,No,123336
AP0281,682,1348781,Unemployed,0.04,71,1785703,5,12,63,Yes,367232
AP0282,656,397919,Unemployed,0.73,42,1524386,9,16,29,Yes,494964
AP0283,515,1284759,Unemployed,0.95,18,1126275,7,17,65,Yes,146512
AP0284,575,2207583,Employed,0.14,36,349775,0,16,31,Yes,112130
AP0285,703,2130252,Self-employed,0.29,69,429504,2,7,55,Yes,196388
AP0286,667,2895469,Employed,0.45,92,685921,2,12,38,No,66944
AP0287,431,1488905,Employed,0.3,52,814076,7,3,64,Yes,152445
AP0288,827,2663483,Self-employed,0.49,26,816116,6,4,27,Yes,293039
AP0289,483,1746875,Unemployed,0.4,23,1248941,4,7,35,Yes,57855
AP0290,646,1746283,Unemployed,0.67,68,971873,0,3,52,Yes,319835
AP0291,327,397404,Unemployed,0.13,90,503618,10,7,36,No,378256
AP0292,571,2055149,Unemployed,0.55,77,1275938,7,15,63,No,263200
AP0293,652,323988,Employed,0.07,20,138128,4,15,36,No,233639
AP0294,826,1823622,Unemployed,0.52,24,1768184,10,18,27,No,464609
AP0295,832,1267694,Unemployed,0.93,69,1531567,1,20,61,Yes,251898
AP0296,745,2836132,Employed,0.54,14,1914291,9,11,48,Yes,235362
AP0297,572,1232328,Unemployed,0.54,2,1575514,1,11,56,No,204634
AP0298,651,1658946,Employed,0.97,69,931728,8,15,50,No,431521
AP0299,633,1365789,Employed,0.68,32,1659530,1,4,20,No,193390
AP0300,789,412322,Employed,0.61,3,740817,5,13,34,No,451750
AP0301,316,1749552,Employed,0.11,92,1161432,8,14,34,Yes,389591
AP0302,358,1747277,Unemployed,0.65,3,1665631,0,7,20,Yes,177081
AP0303,300,427571,Employed,0.13,17,61304,5,5,33,No,203041
AP0304,482,943082,Self-employed,0.11,86,320440,5,4,21,No,342488
AP0305,783,988311,Unemployed,0.6,84,333733,9,1,32,No,415588
AP0306,586,766269,Self-employed,0.09,11,693494,5,3,48,No,300047
AP0307,438,1529961,Self-employed,0.58,34,1864598,9,12,57,Yes,133902
AP0308,824,2088916,Unemployed,0.29,90,1216544,0,5,33,No,449461
AP0309,534,2671421,Employed,0.34,82,900461,8,3,61,No,425016
AP0310,767,274948,Unemployed,0.89,20,260505,0,8,39,No,391661
AP0311,473,2796609,Self-employed,0.91,9,1281690,9,8,41,No,288061
AP0312,794,1412723,Unemployed,0.93,36,167437,1,2,22,Yes,372748
AP0313,803,309661,Self-employed,0.55,29,1532380,0,16,49,Yes,419928
AP0314,401,297793,Unemployed,0.48,80,1210687,9,2,53,Yes,144347
AP0315,580,351983,Self-employed,0.48,59,1635619,10,11,53,Yes,414322
AP0316,828,2449924,Unemployed,0.74,34,1430647,4,1,65,Yes,159546
AP0317,830,1615675,Employed,0.93,46,689190,5,13,29,No,50213
AP0318,720,2253162,Self-employed,0.13,51,149068,9,6,64,No,103597
AP0319,707,551115,Employed,0.83,81,344700,8,18,58,No,140292
AP0320,639,772161,Self-employed,0.78,3,528546,2,19,58,Yes,435840
AP0321,458,218321,Self-employed,0.75,2,1455054,3,20,30,Yes,95753
AP0322,579,1252512,Unemployed,0.7,59,1675302,5,17,20,Yes,223409
AP0323,356,568171,Employed,0.52,13,1020021,0,14,34,Yes,336698
AP0324,338,981983,Employed,0.15,89,857099,9,13,63,Yes,223896
AP0325,795,1873535,Unemployed,0.15,19,1945353,1,14,51,Yes,399009
AP0326,757,2149640,Employed,0.32,24,204377,5,10,47,Yes,265564
AP0327,582,1665215,Self-employed,0.25,33,837098,8,17,34,No,86239
AP0328,785,1141633,Employed,0.37,93,302198,10,1,53,No,262655
AP0329,301,1077165,Self-employed,0.8,55,1202308,6,3,32,Yes,248413
AP0330,798,2553602,Employed,0.71,71,1292954,6,8,62,Yes,331779
AP0331,510,2363835,Self-employed,0.68,10,971017,2,6,44,Yes,309911
AP0332,318,1619150,Self-employed,0.75,55,736585,6,5,36,No,55717
AP0333,709,595888,Unemployed,0.35,15,781271,0,4,19,No,154880
AP0334,324,597749,Employed,0.61,41,1938250,8,10,50,Yes,284827
AP0335,809,2174130,Employed,0.8,38,190861,7,13,34,Yes,388600
AP0336,539,2170281,Unemployed,0.8,89,795479,1,14,61,Yes,160494
AP0337,333,2716804,Unemployed,0.33,15,1307294,6,12,36,Yes,141975
AP0338,383,272088,Unemployed,0.46,93,1002348,1,4,19,Yes,333544
AP0339,362,2168176,Unemployed,0.92,88,497467,3,2,60,Yes,53807
AP0340,672,947117,Employed,0.33,13,434231,3,9,32,No,142931
AP0341,540,1201772,Unemployed,0.02,17,680198,0,6,55,Yes,365342
AP0342,774,2282592,Unemployed,0.81,63,1785072,3,13,21,Yes,490638
AP0343,425,2466723,Self-employed,0.34,95,971511,5,7,56,No,452892
AP0344,674,2868422,Employed,0.74,93,1016071,3,7,63,No,302578
AP0345,468,1374335,Self-employed,0.37,52,1426611,7,20,36,No,108229
AP0346,406,556921,Self-employed,0.06,100,265163,3,13,61,No,470543
AP0347,300,1215793,Self-employed,0.52,41,582897,1,17,52,No,186276
AP0348,335,2639007,Employed,0.47,8,372714,1,17,45,No,217299
AP0349,524,694624,Unemployed,0.34,98,405801,10,8,26,Yes,123783
AP0350,831,2594398,Unemployed,0.79,42,1127781,3,8,48,No,453503
AP0351,429,2886832,Self-employed,0.31,53,1071583,10,19,59,Yes,431514
AP0352,741,1666489,Employed,0.38,86,1523373,8,5,21,No,250666
AP0353,316,329388,Unemployed,0.45,32,1186861,0,18,63,No,406570
AP0354,554,1215470,Unemployed,0.24,84,1718287,5,17,54,Yes,246624
AP0355,746,233143,Self-employed,0.32,8,1874391,0,14,65,No,389662
AP0356,577,783873,Employed,0.48,69,1366489,2,13,60,No,473934
AP0357,803,1559816,Employed,0.86,48,1416037,5,7,52,No,206571
AP0358,387,2424162,Unemployed,0.86,57,322723,10,12,63,Yes,486223
AP0359,316,2879626,Self-employed,0.28,13,1810797,2,11,59,No,272359
AP0360,303,2127778,Unemployed,0.49,95,673178,4,7,56,Yes,96688
AP0361,613,634759,Employed,0.83,66,385692,8,16,26,Yes,134507
AP0362,790,1853423,Unemployed,0.06,53,416208,7,5,62,Yes,466366
AP0363,301,853176,Self-employed,0.93,36,1226113,0,13,38,No,428335
AP0364,844,2455331,Unemployed,0.0,70,1299888,4,17,27,No,71707
AP0365,454,1184318,Unemployed,0.47,54,1213621,4,10,29,No,235867
AP0366,421,2690325,Unemployed,0.98,45,592861,6,11,44,Yes,470914
