Transaction ID,Applicant ID,Transaction Date,Merchant,Category,Amount (INR)
TXN00129,AP0085,2023-07-25,Amazon,Groceries,42231.6
TXN00130,AP0159,2023-06-11,Amazon,Groceries,30845.5
TXN00131,AP0624,2023-06-06,Big Bazaar,Travel,14047.68
TXN00132,AP0359,2023-02-25,Myntra,Shopping,2113.86
TXN00133,AP0810,2024-10-11,Uber,Dining,35957.33
TXN00134,AP0589,2025-02-16,IRCTC,Entertainment,37551.05
TXN00135,AP0529,2024-11-23,IRCTC,Entertainment,14841.77
TXN00136,AP0435,2023-04-29,Ola,Travel,30877.42
TXN00137,AP0144,2025-01-27,Ola,Groceries,34451.93
TXN00138,AP0981,2024-10-02,MakeMyTrip,Shopping,29861.22
TXN00139,AP0195,2025-01-27,IRCTC,Dining,36604.14
TXN00140,AP0355,2024-10-26,Amazon,Travel,10120.99
TXN00141,AP0184,2023-08-06,Swiggy,Groceries,10393.8
TXN00142,AP0467,2024-08-01,Myntra,Utilities,7377.05
TXN00143,AP0450,2023-11-11,Zomato,Dining,42274.49
TXN00144,AP0421,2024-08-08,IRCTC,Groceries,44192.86
TXN00145,AP0517,2024-06-07,Zomato,Entertainment,26707.16
TXN00146,AP0509,2024-12-02,IRCTC,Utilities,5539.41
TXN00147,AP0165,2023-04-08,Myntra,Dining,12744.88
TXN00148,AP0581,2024-05-28,Zomato,Utilities,3147.74
TXN00149,AP0266,2024-09-02,MakeMyTrip,Groceries,14644.48
TXN00150,AP0133,2024-06-17,Zomato,Dining,37025.81
TXN00151,AP0160,2025-01-31,Swiggy,Entertainment,35618.36
TXN00152,AP0918,2024-06-14,MakeMyTrip,Dining,44913.4
TXN00153,AP0862,2025-01-13,Flipkart,Groceries,49050.32
TXN00154,AP0584,2023-10-17,Flipkart,Dining,34080.51
TXN00155,AP0758,2024-01-12,Swiggy,Dining,13425.78
TXN00156,AP0546,2024-12-07,Amazon,Entertainment,19776.62
TXN00157,AP0083,2024-12-21,Uber,Travel,16653.02
TXN00158,AP0999,2024-12-10,Myntra,Entertainment,14792.6
TXN00159,AP0833,2023-10-27,Uber,Utilities,33871.84
TXN00160,AP0438,2023-10-06,IRCTC,Dining,35141.71
TXN00161,AP0148,2023-06-20,Uber,Groceries,23667.86
TXN00162,AP0911,2024-06-28,Uber,Shopping,19896.52
TXN00163,AP0709,2023-10-11,Amazon,Dining,13917.26
TXN00164,AP0753,2023-03-12,Myntra,Shopping,18574.59
TXN00165,AP0266,2024-10-29,IRCTC,Dining,14081.61
TXN00166,AP0430,2023-09-06,MakeMyTrip,Utilities,37495.68
TXN00167,AP0009,2023-07-16,Flipkart,Travel,31276.12
TXN00168,AP0243,2023-11-25,Amazon,Utilities,41021.2
TXN00169,AP0932,2024-08-10,Myntra,Travel,11790.44
TXN00170,AP1000,2023-03-21,Myntra,Utilities,42313.28
TXN00171,AP0638,2024-02-06,Zomato,Utilities,29396.65
TXN00172,AP0410,2024-04-19,Amazon,Dining,983.63
TXN00173,AP0091,2024-07-03,Ola,Shopping,25145.31
TXN00174,AP0329,2024-06-19,Myntra,Entertainment,35740.24
TXN00175,AP0353,2023-01-22,Zomato,Shopping,12892.88
TXN00176,AP0345,2024-11-01,Swiggy,Travel,48390.69
TXN00177,AP0071,2023-03-07,Uber,Entertainment,45605.51
TXN00178,AP0836,2023-06-15,Myntra,Entertainment,34108.8
TXN00179,AP0035,2023-05-19,Uber,Utilities,2251.39
TXN00180,AP0066,2023-01-17,Zomato,Shopping,34341.63
TXN00181,AP0856,2024-11-24,Myntra,Shopping,4117.91
TXN00182,AP0459,2025-03-23,Ola,Entertainment,4244.08
TXN00183,AP0828,2024-12-09,Uber,Entertainment,15278.08
TXN00184,AP0305,2024-07-04,IRCTC,Dining,30464.91
TXN00185,AP0864,2023-09-19,Zomato,Travel,4370.26
TXN00186,AP0427,2023-10-25,IRCTC,Entertainment,40523.32
TXN00187,AP0103,2025-03-31,Big Bazaar,Travel,30645.07
TXN00188,AP0679,2024-03-06,Ola,Shopping,34655.07
TXN00189,AP0165,2024-01-15,Big Bazaar,Travel,8560.05
TXN00190,AP0559,2023-04-30,Zomato,Travel,22515.91
TXN00191,AP0986,2024-06-04,Flipkart,Shopping,13322.35
TXN00192,AP0894,2023-10-20,Swiggy,Utilities,20076.7
TXN00193,AP0264,2025-02-28,Uber,Groceries,46262.99
TXN00194,AP0568,2024-03-31,Zomato,Shopping,8969.35
TXN00195,AP0712,2024-04-27,MakeMyTrip,Utilities,19082.76
TXN00196,AP0332,2023-10-05,Myntra,Groceries,39258.16
TXN00197,AP0899,2023-08-02,Uber,Dining,25126.43
TXN00198,AP0951,2023-06-18,MakeMyTrip,Entertainment,14269.26
TXN00199,AP0471,2023-08-13,Swiggy,Travel,12986.32
TXN00200,AP0043,2024-11-26,IRCTC,Entertainment,21225.45
TXN00201,AP0465,2023-06-05,Swiggy,Groceries,1443.95
TXN00202,AP0303,2024-05-28,IRCTC,Dining,3525.93
TXN00203,AP0727,2023-03-28,Myntra,Groceries,28256.65
TXN00204,AP0245,2024-08-17,Swiggy,Entertainment,7687.33
TXN00205,AP0038,2024-08-10,Zomato,Shopping,43933.63
TXN00206,AP0730,2023-07-08,Amazon,Shopping,6271.91
TXN00207,AP0163,2024-04-25,Zomato,Utilities,25600.83
TXN00208,AP0312,2023-11-11,Swiggy,Shopping,8054.2
TXN00209,AP0443,2023-06-29,Amazon,Utilities,18798.4
TXN00210,AP0050,2023-08-25,Flipkart,Utilities,33852.98
TXN00211,AP0813,2024-12-13,Myntra,Dining,21016.15
TXN00212,AP0670,2024-08-30,Swiggy,Travel,8305.47
TXN00213,AP0647,2023-01-23,MakeMyTrip,Groceries,37583.9
TXN00214,AP0138,2023-10-08,MakeMyTrip,Travel,10225.17
TXN00215,AP0955,2023-04-26,MakeMyTrip,Dining,46296.48
TXN00216,AP0886,2024-05-06,Big Bazaar,Travel,39311.24
TXN00217,AP0375,2024-03-03,MakeMyTrip,Travel,32736.15
TXN00218,AP0578,2024-12-31,Uber,Entertainment,33072.6
TXN00219,AP0665,2023-01-01,Myntra,Groceries,25384.17
TXN00220,AP0496,2024-05-17,Amazon,Dining,26256.9
TXN00221,AP0309,2024-05-07,Zomato,Utilities,45852.4
TXN00222,AP0380,2023-11-17,Big Bazaar,Groceries,28853.19
TXN00223,AP0870,2024-12-12,Myntra,Dining,8451.32
TXN00224,AP0340,2025-01-13,Ola,Utilities,15941.34
TXN00225,AP0093,2024-07-13,IRCTC,Dining,10663.65
TXN00226,AP0729,2023-11-13,Swiggy,Groceries,37698.98
TXN00227,AP0273,2025-02-15,MakeMyTrip,Dining,15676.01
TXN00228,AP0922,2025-02-14,MakeMyTrip,Utilities,40055.56
TXN00229,AP0636,2023-09-14,IRCTC,Shopping,45037.93
TXN00230,AP0411,2024-06-29,Ola,Travel,30051.45
TXN00231,AP0185,2024-06-13,IRCTC,Entertainment,42045.59
TXN00232,AP0139,2023-10-23,Uber,Utilities,47365.64
TXN00233,AP0483,2023-05-09,Flipkart,Entertainment,6706.52
TXN00234,AP0771,2023-07-27,Flipkart,Groceries,19828.81
TXN00235,AP0570,2024-12-26,Flipkart,Shopping,475.81
TXN00236,AP0536,2024-03-31,Big Bazaar,Entertainment,36818.61
TXN00237,AP0182,2024-10-06,Amazon,Shopping,5288.09
TXN00238,AP0724,2024-05-14,Ola,Utilities,40331.18
TXN00239,AP0616,2024-12-18,Flipkart,Entertainment,2569.51
TXN00240,AP0507,2023-09-05,Big Bazaar,Shopping,46823.39
TXN00241,AP0075,2023-07-12,Ola,Groceries,46021.9
TXN00242,AP0174,2024-04-17,Amazon,Entertainment,36534.42
TXN00243,AP0724,2024-12-26,Swiggy,Shopping,31082.67
TXN00244,AP0458,2024-07-31,Ola,Entertainment,32256.78
TXN00245,AP0324,2023-09-16,Uber,Utilities,8298.19
TXN00246,AP0637,2024-06-30,Zomato,Groceries,39793.17
TXN00247,AP0620,2024-04-29,Ola,Entertainment,21992.92
TXN00248,AP0025,2023-03-12,Amazon,Travel,37318.18
TXN00249,AP0435,2023-06-16,Myntra,Groceries,14258.16
TXN00250,AP0206,2024-01-31,Amazon,Entertainment,31065.48
TXN00251,AP0632,2025-02-10,Flipkart,Entertainment,34912.24
TXN00252,AP0762,2024-11-22,Uber,Dining,17457.67
TXN00253,AP0333,2023-06-21,Ola,Entertainment,25081.18
TXN00254,AP0953,2024-03-25,Big Bazaar,Groceries,23527.19
TXN00255,AP0335,2023-02-17,Big Bazaar,Utilities,26717.43
TXN00256,AP0015,2023-08-21,Zomato,Groceries,3139.94
TXN00257,AP0548,2025-02-25,Zomato,Shopping,47076.67
TXN00258,AP0510,2024-03-24,Ola,Dining,4163.66
TXN00259,AP0759,2023-10-13,Uber,Travel,10388.88
TXN00260,AP0752,2024-11-08,Amazon,Shopping,39565.72
TXN00261,AP0242,2023-03-30,MakeMyTrip,Entertainment,4637.01
TXN00262,AP0816,2024-09-12,Ola,Groceries,3792.18
TXN00263,AP0359,2023-02-08,Big Bazaar,Dining,48677.64
TXN00264,AP0580,2023-07-31,IRCTC,Utilities,32518.38
TXN00265,AP0632,2024-07-16,Zomato,Dining,37853.51
TXN00266,AP0294,2025-03-11,MakeMyTrip,Utilities,12824.67
TXN00267,AP0392,2023-10-13,MakeMyTrip,Entertainment,15981.92
TXN00268,AP0816,2024-02-06,IRCTC,Travel,13617.58
TXN00269,AP0933,2025-01-31,Flipkart,Groceries,21490.57
TXN00270,AP0321,2024-04-10,Swiggy,Utilities,16675.9
TXN00271,AP0155,2024-10-03,Ola,Dining,25954.12
TXN00272,AP0006,2025-02-03,Ola,Travel,5209.66
TXN00273,AP0446,2025-01-16,Zomato,Dining,47767.71
TXN00274,AP0683,2024-05-21,Uber,Dining,29780.67
TXN00275,AP0760,2024-08-03,MakeMyTrip,Travel,49454.51
TXN00276,AP0950,2024-02-16,Zomato,Entertainment,4886.67
TXN00277,AP0365,2023-03-22,Amazon,Entertainment,6427.86
TXN00278,AP0589,2024-10-02,Amazon,Utilities,15125.81
TXN00279,AP0137,2025-01-29,IRCTC,Groceries,1326.21
TXN00280,AP0502,2024-03-20,Swiggy,Utilities,10574.63
TXN00281,AP0788,2025-03-01,Myntra,Utilities,28062.42
TXN00282,AP0127,2023-03-04,Ola,Dining,34328.12
TXN00283,AP0666,2024-03-16,Myntra,Travel,3251.42
TXN00284,AP0555,2023-02-08,Uber,Dining,16455.68
TXN00285,AP0968,2023-04-29,Amazon,Dining,40577.64
TXN00286,AP0011,2024-08-05,Swiggy,Entertainment,42897.53
TXN00287,AP0868,2024-04-26,Myntra,Entertainment,4681.38
TXN00288,AP0523,2023-05-16,Zomato,Groceries,13164.96
TXN00289,AP0334,2023-04-19,Flipkart,Utilities,43838.14
TXN00290,AP0889,2023-07-17,Amazon,Entertainment,44565.39
TXN00291,AP0288,2023-01-05,Zomato,Travel,36162.7
TXN00292,AP0857,2024-12-14,Myntra,Shopping,3399.38
TXN00293,AP0386,2024-10-26,Uber,Travel,49668.55
TXN00294,AP0821,2024-03-19,Amazon,Entertainment,23141.11
TXN00295,AP0026,2024-01-10,Big Bazaar,Utilities,20294.61
TXN00296,AP0124,2024-05-05,Uber,Entertainment,5632.26
TXN00297,AP0506,2025-02-23,Ola,Shopping,15591.8
TXN00298,AP0146,2023-08-09,MakeMyTrip,Travel,5079.13
TXN00299,AP0262,2024-01-10,Ola,Utilities,14960.36
TXN00300,AP0714,2025-03-24,MakeMyTrip,Entertainment,2987.32
TXN00301,AP0855,2024-11-19,Big Bazaar,Entertainment,2601.05
TXN00302,AP0077,2023-04-20,IRCTC,Groceries,36102.48
TXN00303,AP0075,2023-05-22,Swiggy,Dining,27884.67
TXN00304,AP0293,2023-04-08,Myntra,Dining,574.76
TXN00305,AP0540,2023-12-17,MakeMyTrip,Utilities,10540.29
TXN00306,AP0792,2025-02-16,Myntra,Travel,25061.36
TXN00307,AP0696,2023-05-11,Uber,Utilities,12589.77
TXN00308,AP0200,2023-03-15,Uber,Travel,48444.45
TXN00309,AP0898,2024-02-04,Myntra,Dining,10394.38
TXN00310,AP0925,2025-03-25,Zomato,Utilities,38742.7
TXN00311,AP0089,2023-08-13,MakeMyTrip,Groceries,12167.69
TXN00312,AP0041,2023-03-17,MakeMyTrip,Utilities,37313.44
TXN00313,AP0457,2024-06-07,Myntra,Groceries,23377.24
TXN00314,AP0272,2023-11-15,Myntra,Groceries,7850.26
TXN00315,AP0585,2023-12-23,MakeMyTrip,Shopping,48444.4
TXN00316,AP0954,2024-08-04,Flipkart,Dining,38211.66
TXN00317,AP0351,2024-11-09,Amazon,Dining,47845.36
TXN00318,AP0527,2023-06-15,Uber,Travel,40036.55
TXN00319,AP0607,2023-08-20,IRCTC,Groceries,34420.15
TXN00320,AP0827,2024-09-18,Swiggy,Groceries,48700.3
TXN00321,AP0378,2023-03-14,Ola,Travel,43004.17
TXN00322,AP0772,2024-10-02,Flipkart,Utilities,8718.53
TXN00323,AP0723,2024-01-24,MakeMyTrip,Shopping,477.42
TXN00324,AP0724,2025-01-13,Zomato,Travel,34910.29
TXN00325,AP0995,2023-09-13,Ola,Entertainment,38158.79
TXN00326,AP0584,2024-08-22,Ola,Dining,10612.55
TXN00327,AP0926,2023-05-10,Swiggy,Travel,2240.09
TXN00328,AP0294,2024-12-08,Big Bazaar,Travel,25620.8
TXN00329,AP0289,2025-02-01,Swiggy,Dining,36737.94
TXN00330,AP0880,2023-10-08,IRCTC,Entertainment,37924.38
TXN00331,AP0007,2024-03-11,Flipkart,Entertainment,31038.39
TXN00332,AP0202,2023-02-04,Ola,Travel,23215.05
TXN00333,AP0603,2024-05-08,Flipkart,Travel,4912.4
TXN00334,AP0714,2024-05-05,MakeMyTrip,Entertainment,32161.66
TXN00335,AP0727,2023-08-08,Zomato,Dining,47442.57
TXN00336,AP0887,2023-10-19,IRCTC,Utilities,39207.03
TXN00337,AP0576,2023-09-22,Amazon,Shopping,1052.86
TXN00338,AP0233,2023-12-11,Zomato,Entertainment,1785.29
TXN00339,AP0170,2023-03-05,Flipkart,Entertainment,12225.85
TXN00340,AP0828,2023-11-06,Big Bazaar,Shopping,39319.94
TXN00341,AP0334,2023-01-25,Myntra,Utilities,14551.6
TXN00342,AP0896,2023-06-14,Big Bazaar,Travel,32574.64
TXN00343,AP0019,2023-04-15,Myntra,Travel,46949.65
TXN00344,AP0331,2023-01-25,Big Bazaar,Utilities,32498.14
TXN00345,AP0118,2024-07-12,Myntra,Groceries,17032.75
TXN00346,AP0750,2024-10-08,Zomato,Shopping,40643.68
TXN00347,AP0234,2024-06-07,Zomato,Dining,10543.12
TXN00348,AP0066,2023-05-12,MakeMyTrip,Entertainment,25134.96
TXN00349,AP0016,2023-04-16,Flipkart,Shopping,43181.53
TXN00350,AP0639,2023-01-25,Uber,Utilities,16714.47
TXN00351,AP0328,2024-05-31,Ola,Utilities,12713.42
TXN00352,AP0153,2024-10-29,Myntra,Dining,45988.3
TXN00353,AP0828,2023-12-29,IRCTC,Travel,28361.58
TXN00354,AP0133,2023-02-23,Swiggy,Travel,39983.12
TXN00355,AP0442,2024-05-15,Myntra,Dining,6988.33
TXN00356,AP0617,2025-03-12,Myntra,Shopping,17010.92
TXN00357,AP0584,2024-02-25,Zomato,Dining,43536.7
TXN00358,AP0371,2023-09-11,IRCTC,Shopping,30830.07
TXN00359,AP0431,2024-03-10,IRCTC,Groceries,11215.49
TXN00360,AP0471,2023-12-07,Swiggy,Dining,46539.81
TXN00361,AP0550,2023-04-12,Amazon,Dining,10842.11
TXN00362,AP0868,2023-05-08,IRCTC,Travel,24883.8
TXN00363,AP0725,2023-01-20,Ola,Dining,5922.14
TXN00364,AP0244,2023-04-01,MakeMyTrip,Shopping,27665.17
TXN00365,AP0782,2023-02-08,MakeMyTrip,Entertainment,519.46
TXN00366,AP0204,2024-04-22,IRCTC,Groceries,20385.3
TXN00367,AP0704,2023-11-26,Ola,Entertainment,40744.39
TXN00368,AP0863,2024-06-15,Big Bazaar,Entertainment,8436.79
TXN00369,AP0970,2023-05-03,IRCTC,Groceries,7334.33
TXN00370,AP0678,2025-01-04,Amazon,Entertainment,33457.27
TXN00371,AP0148,2025-01-17,Swiggy,Travel,4074.59
TXN00372,AP0996,2024-06-01,Amazon,Entertainment,40286.65
TXN00373,AP0305,2024-04-11,Zomato,Utilities,45250.54
TXN00374,AP0943,2024-11-10,MakeMyTrip,Shopping,48307.38
TXN00375,AP0090,2023-07-31,Myntra,Shopping,38626.89
TXN00376,AP0183,2024-08-21,Uber,Shopping,37692.46
TXN00377,AP0728,2023-12-08,Uber,Utilities,23912.04
TXN00378,AP0769,2025-04-01,Myntra,Groceries,5164.72
TXN00379,AP0383,2024-05-14,IRCTC,Shopping,20848.25
TXN00380,AP0752,2024-06-14,Big Bazaar,Groceries,23794.52
TXN00381,AP0690,2024-05-16,MakeMyTrip,Shopping,23636.52
TXN00382,AP0157,2024-05-03,MakeMyTrip,Shopping,11193.15
TXN00383,AP0136,2024-03-22,Zomato,Entertainment,34005.51
TXN00384,AP0210,2024-09-29,Zomato,Utilities,38904.69
TXN00385,AP0128,2024-09-04,MakeMyTrip,Groceries,27406.77
TXN00386,AP0444,2024-03-11,Ola,Groceries,37707.2
TXN00387,AP0617,2024-04-29,Zomato,Travel,33818.7
TXN00388,AP0877,2023-04-13,Zomato,Dining,11741.18
TXN00389,AP0546,2024-04-03,Big Bazaar,Shopping,29067.43
TXN00390,AP0657,2024-12-21,Myntra,Groceries,36741.46
TXN00391,AP0128,2024-06-10,IRCTC,Utilities,46386.94
TXN00392,AP0781,2024-09-28,IRCTC,Travel,25447.71
TXN00393,AP0407,2024-05-22,Amazon,Shopping,18740.03
TXN00394,AP0890,2023-08-18,Amazon,Groceries,19790.58
TXN00395,AP0612,2023-11-11,Myntra,Entertainment,26796.21
TXN00396,AP0181,2023-12-21,Big Bazaar,Dining,6584.08
TXN00397,AP0980,2025-01-14,Swiggy,Utilities,7138.07
TXN00398,AP0937,2024-12-20,Uber,Shopping,21587.84
TXN00399,AP0896,2023-12-27,Ola,Shopping,49918.91
TXN00400,AP0517,2023-08-24,MakeMyTrip,Groceries,26605.12
TXN00401,AP0905,2023-03-19,IRCTC,Utilities,28391.58
TXN00402,AP0102,2024-10-20,Amazon,Entertainment,48166.27
TXN00403,AP0619,2024-05-22,Ola,Shopping,12895.08
TXN00404,AP0341,2023-06-01,Flipkart,Shopping,25510.69
TXN00405,AP0367,2024-09-23,Amazon,Travel,28236.33
TXN00406,AP0103,2024-10-07,Flipkart,Groceries,25142.19
TXN00407,AP0564,2023-08-20,Ola,Utilities,6628.08
TXN00408,AP0944,2024-05-20,Ola,Groceries,10620.0
TXN00409,AP0884,2024-10-27,Swiggy,Travel,47279.81
TXN00410,AP0155,2025-03-21,Amazon,Travel,49250.73
TXN00411,AP0610,2023-10-24,Zomato,Dining,24723.65
TXN00412,AP0773,2024-02-15,IRCTC,Dining,10315.5
TXN00413,AP0827,2024-11-02,Swiggy,Travel,13983.5
TXN00414,AP0064,2023-09-08,Myntra,Entertainment,43941.08
TXN00415,AP0460,2023-10-14,Big Bazaar,Travel,29968.76
